"","gender","age","year","improvement"
"465","male",70,1953,0.0047
"466","male",71,1953,0.0053
"467","male",72,1953,0.0059
"468","male",73,1953,0.0064
"469","male",74,1953,0.0069
"470","male",75,1953,0.0072
"471","male",76,1953,0.0073
"472","male",77,1953,0.0072
"473","male",78,1953,0.007
"474","male",79,1953,0.0065
"475","male",80,1953,0.006
"476","male",81,1953,0.0053
"477","male",82,1953,0.0045
"478","male",83,1953,0.0036
"479","male",84,1953,0.0026
"480","male",85,1953,0.0016
"481","male",86,1953,4e-04
"482","male",87,1953,-0.001
"483","male",88,1953,-0.0024
"484","male",89,1953,-0.004
"485","male",90,1953,-0.0057
"486","male",91,1953,-0.0075
"487","male",92,1953,-0.0095
"488","male",93,1953,-0.0116
"489","male",94,1953,-0.0138
"490","male",95,1953,-0.0162
"491","male",96,1953,-0.0154
"492","male",97,1953,-0.0146
"493","male",98,1953,-0.0138
"494","male",99,1953,-0.013
"495","male",100,1953,-0.0122
"496","male",101,1953,-0.0113
"497","male",102,1953,-0.0105
"498","male",103,1953,-0.0097
"499","male",104,1953,-0.0089
"500","male",105,1953,-0.0081
"501","male",106,1953,-0.0073
"502","male",107,1953,-0.0065
"503","male",108,1953,-0.0057
"504","male",109,1953,-0.0049
"505","male",110,1953,-0.0041
"506","male",111,1953,-0.0032
"507","male",112,1953,-0.0024
"508","male",113,1953,-0.0016
"509","male",114,1953,-8e-04
"510","male",115,1953,0
"511","male",116,1953,0
"512","male",117,1953,0
"513","male",118,1953,0
"514","male",119,1953,0
"515","male",120,1953,0
"516","female",18,1953,0.0537
"517","female",19,1953,0.0537
"518","female",20,1953,0.0537
"519","female",21,1953,0.0544
"520","female",22,1953,0.0551
"521","female",23,1953,0.0556
"522","female",24,1953,0.0559
"523","female",25,1953,0.0559
"524","female",26,1953,0.0556
"525","female",27,1953,0.0549
"526","female",28,1953,0.0539
"527","female",29,1953,0.0526
"528","female",30,1953,0.0511
"529","female",31,1953,0.0495
"530","female",32,1953,0.048
"531","female",33,1953,0.0465
"532","female",34,1953,0.0452
"533","female",35,1953,0.044
"534","female",36,1953,0.0428
"535","female",37,1953,0.0418
"536","female",38,1953,0.0408
"537","female",39,1953,0.0398
"538","female",40,1953,0.0389
"539","female",41,1953,0.038
"540","female",42,1953,0.0371
"541","female",43,1953,0.0363
"542","female",44,1953,0.0354
"543","female",45,1953,0.0345
"544","female",46,1953,0.0336
"545","female",47,1953,0.0326
"546","female",48,1953,0.0316
"547","female",49,1953,0.0306
"548","female",50,1953,0.0295
"549","female",51,1953,0.0286
"550","female",52,1953,0.0277
"551","female",53,1953,0.027
"552","female",54,1953,0.0264
"553","female",55,1953,0.026
"554","female",56,1953,0.0257
"555","female",57,1953,0.0255
"556","female",58,1953,0.0253
"557","female",59,1953,0.025
"558","female",60,1953,0.0245
"559","female",61,1953,0.0239
"560","female",62,1953,0.0231
"561","female",63,1953,0.0222
"562","female",64,1953,0.0212
"563","female",65,1953,0.0202
"564","female",66,1953,0.0194
"565","female",67,1953,0.0188
"566","female",68,1953,0.0184
"567","female",69,1953,0.0183
"568","female",70,1953,0.0183
"569","female",71,1953,0.0183
"570","female",72,1953,0.0184
"571","female",73,1953,0.0183
"572","female",74,1953,0.018
"573","female",75,1953,0.0175
"574","female",76,1953,0.0167
"575","female",77,1953,0.0157
"576","female",78,1953,0.0144
"577","female",79,1953,0.0129
"578","female",80,1953,0.0113
"579","female",81,1953,0.0095
"580","female",82,1953,0.0077
"581","female",83,1953,0.0058
"582","female",84,1953,0.0039
"583","female",85,1953,0.002
"584","female",86,1953,2e-04
"585","female",87,1953,-0.0016
"586","female",88,1953,-0.0033
"587","female",89,1953,-0.0049
"588","female",90,1953,-0.0064
"589","female",91,1953,-0.0077
"590","female",92,1953,-0.009
"591","female",93,1953,-0.0101
"592","female",94,1953,-0.011
"593","female",95,1953,-0.0118
"594","female",96,1953,-0.0112
"595","female",97,1953,-0.0106
"596","female",98,1953,-0.01
"597","female",99,1953,-0.0094
"598","female",100,1953,-0.0089
"599","female",101,1953,-0.0083
"600","female",102,1953,-0.0077
"601","female",103,1953,-0.0071
"602","female",104,1953,-0.0065
"603","female",105,1953,-0.0059
"604","female",106,1953,-0.0053
"605","female",107,1953,-0.0047
"606","female",108,1953,-0.0041
"607","female",109,1953,-0.0035
"608","female",110,1953,-0.003
"609","female",111,1953,-0.0024
"610","female",112,1953,-0.0018
"611","female",113,1953,-0.0012
"612","female",114,1953,-6e-04
"613","female",115,1953,0
"614","female",116,1953,0
"615","female",117,1953,0
"616","female",118,1953,0
"617","female",119,1953,0
"618","female",120,1953,0
"619","male",18,1954,0.0088
"620","male",19,1954,0.0088
"621","male",20,1954,0.0088
"622","male",21,1954,0.0092
"623","male",22,1954,0.0102
"624","male",23,1954,0.0119
"625","male",24,1954,0.014
"626","male",25,1954,0.0163
"627","male",26,1954,0.0186
"628","male",27,1954,0.0207
"629","male",28,1954,0.0225
"630","male",29,1954,0.0239
"631","male",30,1954,0.0248
"632","male",31,1954,0.0255
"633","male",32,1954,0.0258
"634","male",33,1954,0.0259
"635","male",34,1954,0.0258
"636","male",35,1954,0.0256
"637","male",36,1954,0.0254
"638","male",37,1954,0.0251
"639","male",38,1954,0.0247
"640","male",39,1954,0.0242
